filename, language, Python, comment, blank, total
e:\PyGame\PlatformMoving\app.py, Python, 16, 0, 5, 21
e:\PyGame\PlatformMoving\constants.py, Python, 7, 2, 1, 10
e:\PyGame\PlatformMoving\game.py, Python, 77, 0, 20, 97
e:\PyGame\PlatformMoving\levels.py, Python, 71, 2, 18, 91
e:\PyGame\PlatformMoving\movingPlatform.py, Python, 3, 0, 0, 3
e:\PyGame\PlatformMoving\platforms.py, Python, 37, 7, 12, 56
e:\PyGame\PlatformMoving\player.py, Python, 49, 4, 16, 69
Total, -, 260, 15, 72, 347
